Hour,Load (kW)
1,47430.4627
2,54142.8726
3,51700.5995
4,52250.2674
5,50415.7439
6,49913.524
7,47284.9788
8,51236.7989
9,57296.9779
10,58538.2447
11,59402.4597
12,60861.26
13,58307.9418
14,68728.3645
15,72328.8888
16,64598.9867
17,63975.3553
18,67429.1343
19,76540.9925
20,78885.4596
21,76651.0533
22,71842.7177
23,74595.9021
24,69613.7845
25,74370.3659
26,77388.6639
27,70008.0252
28,67265.3499
29,60970.8484
30,71232.5423
31,67170.8371
32,67940.4492
33,56315.4123
34,60736.2295
35,60756.2416
36,57628.934
37,61354.2641
38,68830.5691
39,66352.6656
40,69726.5321
41,66001.4435
42,66307.9845
43,68987.2312
44,71564.2972
45,65104.9181
46,62529.1582
47,64715.8259
48,68767.6543
49,70143.8126
50,73441.2057
51,65941.9702
52,65930.3516
53,58759.6731
54,56980.2336
55,54192.7091
56,58361.5817
57,60753.4932
58,64446.1486
59,66993.6486
60,69019.6513
61,67990.4411
62,67405.1195
63,67772.0109
64,70802.5458
65,71558.3692
66,71893.2306
67,66848.7077
68,70461.9033
69,64935.3253
70,66823.4672
71,67774.1787
72,65324.2948
73,63356.1481
74,64072.9309
75,60685.8654
76,66475.3196
77,64757.3331
78,64665.5094
79,57972.9848
80,57023.7424
81,61857.1795
82,56092.2907
83,59230.2032
84,65103.9719
85,60877.5815
86,73595.3049
87,66482.5517
88,71609.9845
89,68743.3777
90,78700.8899
91,75197.5976
92,78556.5061
93,83301.5357
94,83958.1946
95,82591.486
96,82228.9708
97,79032.0995
98,72560.6932
99,63071.8673
100,61383.683
101,59768.5604
102,60214.0535
103,54779.9617
104,51089.5435
105,52834.9133
106,60420.8617
107,52906.2954
108,62175.5004
109,56926.8932
110,66423.7012
111,65749.9756
112,67299.6529
113,60238.033
114,61892.2409
115,62866.948
116,57643.09
117,55220.7122
118,53906.0885
119,52166.9562
120,53909.199
121,57385.0471
122,67791.8941
123,53586.9059
124,56827.736
125,56260.3367
126,55255.9452
127,55029.3215
128,55469.7705
129,60639.873
130,55529.2574
131,60197.8231
132,58934.7624
133,56694.6407
134,66213.8831
135,61082.4675
136,62491.2857
137,59960.7261
138,61312.3631
139,59927.395
140,57070.3939
141,60202.8264
142,56980.6703
143,56365.3113
144,55578.8086
145,62297.1843
146,59497.3271
147,54327.0028
148,48322.0966
149,47821.0853
150,47974.6618
151,49451.2252
152,54096.5349
153,54085.0303
154,52191.6117
155,53365.5685
156,51377.2528
157,53320.0851
158,57341.2036
159,53911.4602
160,57468.0032
161,52958.0704
162,53413.8139
163,57730.9674
164,53746.6947
165,49461.0853
166,55037.968
167,50881.3943
168,52391.1182
169,56798.8027
170,55602.9575
171,58666.3587
172,65418.0251
173,58096.3862
174,57008.1599
175,60047.5446
176,55719.1771
177,56604.1195
178,52785.8251
179,51301.3242
180,58873.1724
181,57306.3939
182,61666.2643
183,59552.6265
184,63912.1717
185,64245.5525
186,65184.916
187,63454.3729
188,67478.9655
189,68498.9702
190,63151.8133
191,62169.9623
192,70431.6114
193,69410.3915
194,72797.2324
195,58021.6203
196,67897.8626
197,75588.9936
198,75000.102
199,68623.0186
200,72767.468
201,76011.5957
202,75234.6058
203,79762.7209
204,72147.5044
205,79177.1998
206,81237.8384
207,78687.5093
208,71703.4138
209,69941.7668
210,65608.9828
211,66572.2007
212,66876.0363
213,72345.1964
214,76146.5743
215,70892.8705
216,67583.9733
217,62378.6793
218,69126.5928
219,66933.9502
220,59519.5769
221,54957.2863
222,58467.3032
223,59943.6766
224,57374.413
225,73128.8404
226,68240.0054
227,76885.4041
228,68783.4748
229,73774.7059
230,71906.9267
231,76865.173
232,74772.2691
233,70740.5872
234,71190.1581
235,67567.1666
236,64192.1327
237,73029.7823
238,70247.8326
239,69236.3406
240,71495.1054
241,72441.3643
242,73125.4737
243,83715.8964
244,71638.4829
