Hour,Load (kW),Load (kW)
1,47430.4627,0.474304627
2,54142.8726,0.541428726
3,51700.5995,0.517005995
4,52250.2674,0.522502674
5,50415.7439,0.504157439
6,49913.524,0.49913524
7,47284.9788,0.472849788
8,51236.7989,0.512367989
9,57296.9779,0.572969779
10,58538.2447,0.585382447
11,59402.4597,0.594024597
12,60861.26,0.6086126
13,58307.9418,0.583079418
14,68728.3645,0.687283645
15,72328.8888,0.723288888
16,64598.9867,0.645989867
17,63975.3553,0.639753553
18,67429.1343,0.674291343
19,76540.9925,0.765409925
20,78885.4596,0.788854596
21,76651.0533,0.766510533
22,71842.7177,0.718427177
23,74595.9021,0.745959021
24,69613.7845,0.696137845
25,74370.3659,0.743703659
26,77388.6639,0.773886639
27,70008.0252,0.700080252
28,67265.3499,0.672653499
29,60970.8484,0.609708484
30,71232.5423,0.712325423
31,67170.8371,0.671708371
32,67940.4492,0.679404492
33,56315.4123,0.563154123
34,60736.2295,0.607362295
35,60756.2416,0.607562416
36,57628.934,0.57628934
37,61354.2641,0.613542641
38,68830.5691,0.688305691
39,66352.6656,0.663526656
40,69726.5321,0.697265321
41,66001.4435,0.660014435
42,66307.9845,0.663079845
43,68987.2312,0.689872312
44,71564.2972,0.715642972
45,65104.9181,0.651049181
46,62529.1582,0.625291582
47,64715.8259,0.647158259
48,68767.6543,0.687676543
49,70143.8126,0.701438126
50,73441.2057,0.734412057
51,65941.9702,0.659419702
52,65930.3516,0.659303516
53,58759.6731,0.587596731
54,56980.2336,0.569802336
55,54192.7091,0.541927091
56,58361.5817,0.583615817
57,60753.4932,0.607534932
58,64446.1486,0.644461486
59,66993.6486,0.669936486
60,69019.6513,0.690196513
61,67990.4411,0.679904411
62,67405.1195,0.674051195
63,67772.0109,0.677720109
64,70802.5458,0.708025458
65,71558.3692,0.715583692
66,71893.2306,0.718932306
67,66848.7077,0.668487077
68,70461.9033,0.704619033
69,64935.3253,0.649353253
70,66823.4672,0.668234672
71,67774.1787,0.677741787
72,65324.2948,0.653242948
73,63356.1481,0.633561481
74,64072.9309,0.640729309
75,60685.8654,0.606858654
76,66475.3196,0.664753196
77,64757.3331,0.647573331
78,64665.5094,0.646655094
79,57972.9848,0.579729848
80,57023.7424,0.570237424
81,61857.1795,0.618571795
82,56092.2907,0.560922907
83,59230.2032,0.592302032
84,65103.9719,0.651039719
85,60877.5815,0.608775815
86,73595.3049,0.735953049
87,66482.5517,0.664825517
88,71609.9845,0.716099845
89,68743.3777,0.687433777
90,78700.8899,0.787008899
91,75197.5976,0.751975976
92,78556.5061,0.785565061
93,83301.5357,0.833015357
94,83958.1946,0.839581946
95,82591.486,0.82591486
96,82228.9708,0.822289708
97,79032.0995,0.790320995
98,72560.6932,0.725606932
99,63071.8673,0.630718673
100,61383.683,0.61383683
101,59768.5604,0.597685604
102,60214.0535,0.602140535
103,54779.9617,0.547799617
104,51089.5435,0.510895435
105,52834.9133,0.528349133
106,60420.8617,0.604208617
107,52906.2954,0.529062954
108,62175.5004,0.621755004
109,56926.8932,0.569268932
110,66423.7012,0.664237012
111,65749.9756,0.657499756
112,67299.6529,0.672996529
113,60238.033,0.60238033
114,61892.2409,0.618922409
115,62866.948,0.62866948
116,57643.09,0.5764309
117,55220.7122,0.552207122
118,53906.0885,0.539060885
119,52166.9562,0.521669562
120,53909.199,0.53909199
121,57385.0471,0.573850471
122,67791.8941,0.677918941
123,53586.9059,0.535869059
124,56827.736,0.56827736
125,56260.3367,0.562603367
126,55255.9452,0.552559452
127,55029.3215,0.550293215
128,55469.7705,0.554697705
129,60639.873,0.60639873
130,55529.2574,0.555292574
131,60197.8231,0.601978231
132,58934.7624,0.589347624
133,56694.6407,0.566946407
134,66213.8831,0.662138831
135,61082.4675,0.610824675
136,62491.2857,0.624912857
137,59960.7261,0.599607261
138,61312.3631,0.613123631
139,59927.395,0.59927395
140,57070.3939,0.570703939
141,60202.8264,0.602028264
142,56980.6703,0.569806703
143,56365.3113,0.563653113
144,55578.8086,0.555788086
145,62297.1843,0.622971843
146,59497.3271,0.594973271
147,54327.0028,0.543270028
148,48322.0966,0.483220966
149,47821.0853,0.478210853
150,47974.6618,0.479746618
151,49451.2252,0.494512252
152,54096.5349,0.540965349
153,54085.0303,0.540850303
154,52191.6117,0.521916117
155,53365.5685,0.533655685
