,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
0,3.545,3.718,2.6415,3.792,3.955,3.427,3.2375,3.413,3.5625,3.594,3.451,3.44,3.3925,3.7285,3.7395,3.781,2.7425,3.6,3.5745,3.7535,2.9875,3.542,3.5165,3.6545,3.693,3.481,3.597,3.529,3.484,3.4095,2.9515,3.4925,3.5485,3.5145,3.4755,3.6605,3.692,3.465,3.761,3.5725,3.5955,3.8335,3.1175,3.7665,3.478,3.369,3.9135,3.8605,3.6735,3.816,3.6505,3.4195,3.5605,3.698,3.2545,3.55,3.4,3.094,2.942,3.488,3.3815,2.9225,2.8695,3.5935,3.8025,3.2645,3.6115,3.5375,3.724,2.5635,3.8075,3.8815,3.496,3.226,3.2965,3.303,3.3865,3.22,3.3705,3.348,3.6425,2.6355,3.1015,3.73
1,2.9765,3.894,3.786,3.912,4.013,3.0715,3.202,3.386,3.566,3.6045,3.4855,3.418,3.35,3.867,3.8235,3.8795,3.623,3.665,3.672,3.8485,3.467,3.561,3.5775,3.645,3.739,3.4865,3.572,3.4965,3.5575,3.6935,3.703,3.622,3.6655,3.716,3.6755,3.873,3.785,3.751,3.9795,3.89,4.0465,3.972,3.8,3.976,3.903,3.852,4.001,3.9785,3.811,3.942,3.809,3.7155,3.6215,3.6735,3.718,3.7435,3.737,3.717,3.708,3.758,3.79,3.712,3.755,4.0815,3.9415,3.9565,3.8085,4.15,4.1405,3.593,3.919,3.958,3.479,3.08,3.2235,3.2705,3.361,2.8855,3.2035,3.3175,3.7975,3.6675,3.4765,4.113
2,3.062,3.864,3.8255,0.9315,1.0445,3.3885,3.323,3.475,3.6465,3.685,3.5935,3.437,3.5245,3.7735,3.7495,3.7935,3.6705,3.719,3.741,3.8935,3.712,3.6325,3.6485,3.7195,3.8085,3.558,3.6445,3.572,3.655,3.782,3.8035,3.703,3.7365,3.7735,3.7435,2.2615,3.637,3.689,3.7785,3.7505,3.455,3.761,3.761,3.9025,3.845,3.8135,3.9155,3.917,3.7665,3.907,3.8075,3.711,3.7,3.7425,3.766,3.7755,3.779,3.8035,3.831,3.8155,3.8305,3.85,3.865,3.4835,3.904,3.9725,3.8865,3.917,1.3935,3.7125,2.425,2.724,3.5345,3.4175,3.409,3.3465,3.4285,3.302,3.34,3.4105,3.8235,3.7675,3.5915,1.1225
3,3.5855,3.898,3.8105,2.4185,3.0065,3.3665,3.3145,3.4385,3.6245,3.549,3.534,3.417,3.4835,3.8255,3.6915,3.731,3.6055,3.6185,3.679,3.79,3.653,3.582,3.5975,3.6605,3.7075,3.4965,3.592,3.528,3.5655,3.6315,3.6465,3.616,3.641,3.6675,3.614,3.854,3.743,3.7015,3.934,3.8455,3.9975,3.9245,3.743,3.922,3.8435,3.793,3.9945,3.8285,3.729,3.7725,3.7095,3.644,3.626,3.6285,3.686,3.649,3.6405,3.664,3.69,3.728,3.775,3.796,3.7885,4.0285,3.8835,3.9165,3.8075,4.062,4.0825,3.6805,3.91,3.886,3.5055,3.369,3.373,3.3235,3.4275,3.274,3.32,3.3925,3.709,3.6155,3.517,3.986
4,3.6465,3.931,3.8555,3.9975,3.2135,3.5195,3.3,3.5075,3.6355,3.595,3.5475,3.435,3.4885,3.835,3.745,3.7785,3.676,3.639,3.659,3.85,3.723,3.656,3.6675,3.7305,3.7845,3.5305,3.667,3.5985,3.5865,3.659,3.6725,3.634,3.6635,3.692,3.639,3.935,3.82,3.804,4.0725,3.952,4.13,4.057,3.835,4.042,3.949,3.8835,3.907,3.849,3.791,3.806,3.7715,3.7245,3.652,3.6885,3.743,3.706,3.6975,3.6975,3.7145,3.8085,3.8235,3.8485,3.876,4.188,3.994,4.055,3.933,4.1885,4.2625,3.7395,3.929,4.054,3.57,3.3795,3.383,3.3795,3.4755,3.2565,3.3875,3.442,3.7665,3.6405,3.53,4.2435
5,2.2875,2.81,2.7635,3.089,2.909,2.5625,2.591,2.7185,3.0575,2.753,2.8095,2.8045,2.454,1.9685,2.065,1.6605,2.0445,2.7775,2.1745,2.961,2.646,1.8855,2.329,2.6085,3.3265,2.1665,2.0915,2.128,3.0035,3.4055,3.4815,3.0215,3.2685,3.0205,3.3505,2.685,2.686,2.7025,3.4485,2.523,2.6205,2.817,2.8375,2.7245,2.882,2.8725,2.5905,2.541,3.009,2.5975,3.183,2.9515,2.9575,3.0835,3.0885,3.034,3.051,3.2925,3.4625,3.082,3.233,3.7645,3.769,3.0755,2.8955,3.482,3.4845,2.836,2.997,2.4935,2.9005,3.195,1.969,2.4545,2.6605,2.137,2.517,2.3155,2.1605,2.387,3.3495,3.2265,2.51,3.17
6,3.2085,3.0255,3.377,3.276,3.8535,3.2245,3.298,3.4415,3.625,3.5515,3.4695,3.411,3.4305,3.624,3.577,3.737,3.5285,3.6325,3.492,3.8105,3.578,3.4275,3.5435,3.676,3.7335,3.503,3.573,3.553,3.497,3.552,3.6045,3.5355,3.541,3.544,3.404,3.892,3.7555,3.55,3.9445,3.861,3.822,3.9665,2.743,3.8155,2.9815,1.8325,3.581,3.512,3.731,3.7735,3.6925,3.35,3.589,3.6075,2.9435,3.553,3.4785,3.558,3.667,3.6305,3.627,3.769,3.7405,4.012,2.5555,3.448,3.6695,3.652,3.9025,3.423,3.359,3.8185,3.5155,3.31,3.336,3.325,3.435,3.2895,3.313,3.3915,3.6785,3.583,3.438,3.5405
7,2.901,3.86,3.68,3.987,4.0245,2.9795,3.1465,3.203,3.332,3.4295,3.451,3.043,3.391,3.8455,3.586,3.756,3.435,3.636,3.3565,3.818,3.46,3.1125,3.2255,3.469,3.719,3.4155,3.4595,3.34,3.514,3.682,3.6785,3.5615,3.595,3.624,3.615,3.857,3.8535,3.8375,4.0555,3.982,4.121,4.058,3.8805,4.0535,3.977,3.938,3.7815,3.863,3.7995,3.8085,3.754,3.7505,3.5765,3.6235,3.8235,3.6065,3.675,3.735,3.8115,3.8835,3.8905,3.823,3.8715,4.126,4.0225,4.058,3.962,4.1555,4.1295,3.3015,3.944,4.0075,2.6045,3.208,3.273,2.969,2.8615,2.4995,2.432,2.1985,3.7345,3.6225,3.442,4.049
8,3.465,3.9115,3.914,4.0465,4.082,3.521,2.8475,3.2235,2.886,2.886,3.073,2.8835,2.8415,3.938,3.8225,3.8555,3.7355,3.6175,3.7035,3.8035,3.7535,3.57,3.6365,3.521,3.602,3.3415,3.5525,3.444,3.0215,3.017,3.121,3.2765,3.285,3.594,3.244,4.015,3.9085,3.7575,4.0885,4.008,3.7065,3.985,3.5295,3.839,3.743,3.53,4.0005,3.9425,3.6905,3.82,3.6485,3.7475,3.238,3.4565,3.377,3.688,3.412,3.1725,3.09,3.4225,3.0735,3.2065,3.5455,4.153,3.9485,3.5485,3.18,3.809,4.204,3.7855,4.024,4.0545,3.4885,2.5795,2.729,3.1385,3.357,3.3465,3.3735,3.1245,3.7085,2.678,2.924,4.156
9,1.0485,1.2175,1.3855,3.0095,2.573,1.293,1.3755,1.6595,1.9795,1.2065,1.8185,2.471,2.1105,2.321,1.509,2.758,1.552,2.64,1.233,3.1905,1.2935,0.829,1.174,0.7,2.6615,1.317,1.4355,0.608,1.376,0.9715,1.617,1.5835,1.335,1.1845,1.141,2.936,2.673,1.3405,3.294,2.246,2.337,1.891,1.2855,2.0385,1.5785,1.574,2.609,2.671,2.287,2.4905,1.892,1.2465,1.657,1.331,1.248,0.932,1.252,1.7555,1.8495,1.126,1.181,2.243,1.8235,2.348,1.813,2.3285,1.41,2.7445,2.7335,1.56,2.8995,2.9575,0.7435,1.313,1.414,1.2445,2.166,0.62,0.7675,1.7375,1.5555,1.963,1.529,3.184
